time10,energy11,x13,y14,z15,coincidence22
2.22462587366683210265538e-05,1.730e-02,1.008e+02,2.412e+01,-3.393e+01,Compton
2.22462922237127403118744e-05,3.233e-01,1.104e+02,2.692e+01,-3.494e+01,Compton
2.22463003614861916954013e-05,1.712e-01,1.083e+02,2.584e+01,-3.532e+01,PhotoElectric
2.33405416106916256278794e-05,3.575e-01,1.002e+02,3.983e+01,7.447e+01,PhotoElectric
2.35709328818359072532825e-05,4.417e-02,1.042e+02,-6.801e+01,-1.340e+01,Compton
2.35710195104755801756048e-05,3.855e-02,1.205e+02,-8.695e+01,-6.406e+00,Compton
2.35706595345517312927851e-05,3.011e-01,-1.359e+02,-6.789e+01,5.361e+01,Compton
2.35706741132814715064710e-05,2.002e-01,-1.337e+02,-6.467e+01,5.565e+01,PhotoElectric
2.36249857954130456619193e-05,5.107e-01,-1.351e+02,-7.183e+01,6.108e+01,PhotoElectric
2.36248928926594877885248e-05,1.124e-01,1.249e+02,7.232e+01,-2.149e+01,Compton
2.36249450446819039611465e-05,4.747e-02,1.291e+02,8.713e+01,-2.413e+01,Compton
2.36249662625402729525075e-05,2.032e-01,1.290e+02,9.310e+01,-2.196e+01,Compton
2.36249722444532834044265e-05,1.483e-01,1.289e+02,9.149e+01,-2.272e+01,PhotoElectric
2.39266003979397333194766e-05,6.875e-02,1.002e+02,8.219e+01,1.708e+01,PhotoElectric
2.46364191182318119865101e-05,2.233e-01,-1.144e+02,-5.193e+01,-4.961e+01,Compton
2.46365035654190988288759e-05,1.004e-01,-1.292e+02,-3.396e+01,-5.956e+01,Compton
2.46365310733296634198002e-05,1.853e-01,-1.308e+02,-3.080e+01,-5.212e+01,PhotoElectric
2.47111387772487744074641e-05,3.189e-01,-1.193e+02,7.110e+01,-4.884e+01,Compton
2.47111414681335615360809e-05,0.000e+00,-1.190e+02,7.140e+01,-4.815e+01,RayleighScattering
2.47111470482676980097488e-05,5.533e-02,-1.190e+02,7.161e+01,-4.649e+01,Compton
2.47111524246722299535776e-05,1.374e-01,-1.205e+02,7.123e+01,-4.648e+01,PhotoElectric
2.48963651656887402063411e-05,4.390e-02,1.154e+02,-3.613e+01,-8.139e+00,Compton
2.48963950360353436920373e-05,4.665e-01,1.234e+02,-3.777e+01,-1.165e+01,PhotoElectric
2.48961476600125674761219e-05,5.116e-01,-1.026e+02,-3.124e+01,-7.825e+00,PhotoElectric
2.48999640112736971345447e-05,2.311e-01,1.009e+02,-5.814e+01,3.053e+01,Compton
2.48999690820653129196514e-05,0.000e+00,1.011e+02,-5.678e+01,2.991e+01,RayleighScattering
2.48999704312442364767099e-05,2.811e-01,1.012e+02,-5.643e+01,2.970e+01,PhotoElectric
2.51119762297824106200578e-05,7.502e-02,-1.225e+02,6.662e+01,1.481e+01,Compton
2.51119780024963646020749e-05,2.042e-01,-1.228e+02,6.687e+01,1.445e+01,Compton
2.51119841017217069133703e-05,9.636e-03,-1.213e+02,6.752e+01,1.372e+01,Compton
2.51119975393924184500685e-05,7.980e-02,-1.177e+02,6.945e+01,1.380e+01,Compton
2.51119988622629899445177e-05,1.419e-01,-1.180e+02,6.967e+01,1.401e+01,PhotoElectric
2.54256769537165747087012e-05,4.515e-01,-1.086e+02,9.455e+00,-2.918e+01,PhotoElectric
2.55503995081242492521442e-05,1.978e-01,-1.011e+02,-4.096e+01,5.973e+00,PhotoElectric
2.68167949454038850322889e-05,3.362e-01,-1.032e+02,1.858e+01,-1.512e+01,Compton
2.69555033186036245367815e-05,2.488e-01,1.117e+02,3.165e+01,-6.503e+01,PhotoElectric
2.72346428464167951465427e-05,3.310e-01,1.026e+02,5.898e+01,2.375e+01,Compton
2.72346442373669858671211e-05,5.038e-02,1.023e+02,5.873e+01,2.394e+01,Compton
2.72346443343912455602347e-05,1.295e-01,1.023e+02,5.871e+01,2.392e+01,PhotoElectric
2.73579259395838865031973e-05,5.091e-01,-1.125e+02,8.514e+01,6.673e+01,PhotoElectric
2.75233882123610958613490e-05,2.887e-01,-1.128e+02,1.701e+01,5.323e+01,Compton
2.75234200000541011658841e-05,4.510e-02,-1.116e+02,2.610e+01,5.063e+01,Compton
2.75234448993249041697049e-05,6.532e-02,-1.176e+02,2.921e+01,4.740e+01,Compton
2.75234713024238022104333e-05,1.120e-01,-1.130e+02,2.302e+01,4.550e+01,PhotoElectric
2.77391396248796613395026e-05,1.382e-01,-1.297e+02,2.701e+01,-3.226e+01,Compton
2.77392537530905613314333e-05,1.262e-01,-1.396e+02,1.001e+01,-6.026e+01,Compton
2.77392598740399778695261e-05,7.627e-02,-1.383e+02,8.753e+00,-6.061e+01,Compton
2.77392754087531523160982e-05,1.687e-01,-1.390e+02,6.552e+00,-5.656e+01,PhotoElectric
2.77881175430322623954877e-05,1.848e-01,1.091e+02,-4.991e+01,5.758e+01,Compton
2.77881636478882454693428e-05,3.262e-01,1.081e+02,-6.273e+01,6.266e+01,PhotoElectric
2.77882646316095661010587e-05,5.110e-01,-1.035e+02,5.286e+01,-1.402e+01,PhotoElectric
2.79335069801344874429808e-05,1.006e-01,1.033e+02,-8.707e+01,7.413e+01,Compton
2.79335159602007236895153e-05,0.000e+00,1.008e+02,-8.811e+01,7.438e+01,RayleighScattering
2.79335189861422612291053e-05,0.000e+00,1.000e+02,-8.852e+01,7.446e+01,RayleighScattering
2.81172322286076939782101e-05,3.313e-01,1.100e+02,-5.233e+01,6.237e+01,Compton
2.81172654584481363155331e-05,0.000e+00,1.083e+02,-4.318e+01,5.883e+01,RayleighScattering
2.81172725617456532875866e-05,1.814e-01,1.080e+02,-4.107e+01,5.898e+01,PhotoElectric
2.85806215118255735785531e-05,8.518e-03,1.211e+02,-8.943e+01,4.531e+01,Compton
2.85804568048146413500755e-05,2.259e-01,-1.083e+02,4.214e+01,-5.157e+01,Compton
2.85804602731268706980981e-05,1.338e-01,-1.081e+02,4.313e+01,-5.135e+01,Compton
2.85804609117908615045171e-05,1.498e-01,-1.080e+02,4.299e+01,-5.142e+01,PhotoElectric
2.87063075247481516954866e-05,0.000e+00,-1.053e+02,1.119e+01,-2.600e+01,RayleighScattering
2.87063599080355194472901e-05,5.970e-02,-1.162e+02,8.772e+00,-3.708e+01,Compton
2.87064213799410170480271e-05,4.516e-01,-1.290e+02,-1.943e+00,-4.484e+01,PhotoElectric
2.95296429072541480450806e-05,1.122e-01,1.011e+02,2.851e+01,4.403e+01,PhotoElectric
3.04392411244877617796777e-05,2.405e-01,-1.092e+02,3.262e+00,-4.999e+01,Compton
3.04392786214273090036973e-05,2.552e-03,-1.061e+02,-5.429e+00,-5.642e+01,Compton
3.04392920476734434357367e-05,2.670e-01,-1.047e+02,-8.003e+00,-5.919e+01,PhotoElectric
3.04393419115481880549579e-05,1.686e-01,1.153e+02,3.183e+01,6.677e+01,Compton
3.04394078447157508560562e-05,3.433e-01,1.274e+02,4.673e+01,6.190e+01,PhotoElectric
3.06479284772888746100558e-05,1.942e-01,-1.029e+02,4.938e+01,-5.123e+01,PhotoElectric
3.07943144735105562713635e-05,1.944e-01,1.175e+02,-5.944e+00,-5.585e+01,Compton
3.07943345469806708560034e-05,3.182e-01,1.169e+02,-1.192e+01,-5.598e+01,PhotoElectric
3.11709661249927189583843e-05,0.000e+00,1.001e+02,-8.276e+01,6.928e+01,RayleighScattering
3.11709677996918827543732e-05,1.220e-02,1.005e+02,-8.301e+01,6.947e+01,Compton
3.11709801448709813011077e-05,1.197e-01,1.021e+02,-8.597e+01,6.801e+01,PhotoElectric
3.15861182268252062917309e-05,1.706e-01,1.036e+02,-7.676e+01,-6.268e+01,Compton
3.15861192573662355942074e-05,8.541e-02,1.035e+02,-7.678e+01,-6.299e+01,Compton
3.15861202380440887001363e-05,6.624e-02,1.033e+02,-7.694e+01,-6.303e+01,Compton
3.15861217747580820601298e-05,1.301e-01,1.035e+02,-7.711e+01,-6.266e+01,PhotoElectric
3.19201756151243706154975e-05,0.000e+00,1.029e+02,-5.951e+01,3.746e+01,RayleighScattering
3.19201760668763216211366e-05,8.550e-03,1.028e+02,-5.955e+01,3.755e+01,Compton
3.19948531680943649979643e-05,2.580e-01,1.012e+02,-6.365e+00,-2.451e+01,Compton
3.19949899391032443248667e-05,5.343e-02,1.030e+02,-4.600e+01,-1.415e+01,Compton
3.19949977679113688341060e-05,2.009e-01,1.019e+02,-4.755e+01,-1.557e+01,PhotoElectric
3.27345935340916959800650e-05,2.553e-01,-1.130e+02,-5.488e+01,5.199e+01,Compton
3.27345938650737503525581e-05,2.567e-01,-1.130e+02,-5.498e+01,5.197e+01,PhotoElectric
3.27345366883192355434914e-05,5.100e-01,1.069e+02,4.304e-01,-3.849e+01,PhotoElectric
3.27682237924196563907432e-05,8.078e-02,-1.020e+02,5.384e+00,4.525e+01,Compton
3.27682346507675957146717e-05,2.775e-01,-1.037e+02,6.221e+00,4.789e+01,PhotoElectric
3.28287446802981300927188e-05,4.213e-01,-1.127e+02,-6.642e+01,3.070e+01,PhotoElectric
3.28286413717299074203730e-05,2.004e-01,-1.048e+02,5.850e+01,2.460e+01,PhotoElectric
3.34148809057406478420157e-05,5.113e-01,-1.006e+02,6.422e+01,2.414e+01,PhotoElectric
3.36932557839426350082372e-05,2.903e-02,1.018e+02,3.862e+01,-6.343e+01,Compton
3.36932794035083973461543e-05,1.666e-02,1.086e+02,4.038e+01,-6.436e+01,Compton
3.36933063366433595254255e-05,1.320e-01,1.166e+02,3.972e+01,-6.457e+01,Compton
3.36933703321243998608792e-05,9.017e-02,1.190e+02,2.146e+01,-6.997e+01,Compton
3.36933758886179856900829e-05,1.428e-01,1.193e+02,2.170e+01,-6.836e+01,PhotoElectric
3.41312228689607901114221e-05,4.188e-02,-1.008e+02,-1.775e+01,-4.754e+01,Compton
3.41313429642325910770215e-05,2.988e-02,-1.207e+02,-4.204e+01,-6.492e+01,Compton
3.47382931578179318492239e-05,3.381e-01,1.187e+02,-2.787e+01,3.702e+01,Compton
3.47382995073137036765726e-05,2.495e-02,1.168e+02,-2.759e+01,3.671e+01,Compton
3.47383197242999986462976e-05,1.462e-01,1.129e+02,-3.206e+01,3.790e+01,PhotoElectric
3.47973785800352193565109e-05,2.307e-01,1.083e+02,-1.383e+01,-7.274e+01,PhotoElectric
3.51970745157036748193904e-05,2.966e-01,-1.015e+02,4.012e+00,-4.608e+01,Compton
3.51971381351893580725562e-05,2.146e-01,-1.054e+02,-8.719e+00,-3.244e+01,PhotoElectric
3.64390542669816566907250e-05,3.325e-01,1.007e+02,-3.342e+00,-4.409e+01,Compton
3.64391271683758540336773e-05,5.532e-02,-1.053e+02,6.370e+01,1.124e+00,Compton
3.64391744099073483097347e-05,2.218e-01,-1.192e+02,6.419e+01,-1.805e+00,Compton
3.64391748468516793956450e-05,2.354e-01,-1.192e+02,6.429e+01,-1.876e+00,PhotoElectric
3.64441197332638838822343e-05,2.081e-01,1.021e+02,-3.903e+01,-6.510e+01,PhotoElectric
3.67003680802526356229815e-05,2.189e-01,-1.032e+02,2.557e+01,-5.876e+01,PhotoElectric
3.67001868913628703262886e-05,1.222e-01,1.176e+02,-2.568e+01,-1.119e+01,Compton
3.69482516551783305228107e-05,2.480e-02,1.036e+02,1.425e+00,2.955e+01,Compton
